âÊëfíl,î≠ê∂ïpìx[%],î≠ê∂êî
0,0.1931,2086
1,0.1278,1380
2,0.0969,1047
3,0.0976,1054
4,0.0907,980
5,0.1065,1150
6,0.1101,1189
7,0.1345,1453
8,0.1334,1441
9,0.1462,1579
10,0.1656,1789
11,0.1599,1727
12,0.1881,2031
13,0.1876,2026
14,0.2155,2327
15,0.2388,2579
16,0.2452,2648
17,0.2681,2896
18,0.2774,2996
19,0.2862,3091
20,0.2992,3231
21,0.3144,3396
22,0.3181,3435
23,0.3204,3460
24,0.3323,3589
25,0.3324,3590
26,0.333,3596
27,0.3179,3433
28,0.3143,3394
29,0.3147,3399
30,0.311,3359
31,0.3057,3302
32,0.3027,3269
33,0.2945,3181
34,0.3049,3293
35,0.3018,3259
36,0.3022,3264
37,0.3036,3279
38,0.3081,3328
39,0.2951,3187
40,0.2934,3169
41,0.2936,3171
42,0.2981,3220
43,0.3055,3299
44,0.2981,3220
45,0.2967,3204
46,0.3082,3329
47,0.3196,3452
48,0.3241,3500
49,0.329,3553
50,0.3456,3733
51,0.3454,3730
52,0.3383,3654
53,0.3513,3794
54,0.3449,3725
55,0.3653,3945
56,0.3651,3943
57,0.3633,3924
58,0.3831,4137
59,0.3904,4216
60,0.4066,4391
61,0.4097,4425
62,0.4119,4449
63,0.4205,4541
64,0.4295,4639
65,0.4453,4809
66,0.4627,4997
67,0.4618,4987
68,0.4731,5109
69,0.4756,5136
70,0.486,5249
71,0.4846,5234
72,0.5094,5501
73,0.5035,5438
74,0.5088,5495
75,0.5117,5526
76,0.5031,5433
77,0.5073,5479
78,0.4927,5321
79,0.5066,5471
80,0.4852,5240
81,0.4905,5297
82,0.4853,5241
83,0.4739,5118
84,0.4796,5180
85,0.4585,4952
86,0.4534,4897
87,0.4448,4804
88,0.4418,4771
89,0.4288,4631
90,0.4214,4551
91,0.4188,4523
92,0.4167,4500
93,0.3913,4226
94,0.4075,4401
95,0.3874,4184
96,0.3745,4045
97,0.3811,4116
98,0.3584,3871
99,0.3564,3849
100,0.3527,3809
101,0.3464,3741
102,0.3228,3486
103,0.3214,3471
104,0.3047,3291
105,0.2985,3224
106,0.3034,3277
107,0.2903,3135
108,0.2811,3036
109,0.2646,2858
110,0.2471,2669
111,0.2501,2701
112,0.2461,2658
113,0.2363,2552
114,0.2365,2554
115,0.2235,2414
116,0.2226,2404
117,0.2101,2269
118,0.2044,2208
119,0.1919,2072
120,0.1885,2036
121,0.1819,1964
122,0.164,1771
123,0.152,1642
124,0.1544,1667
125,0.1492,1611
126,0.1401,1513
127,0.138,1490
128,0.1216,1313
129,0.1258,1359
130,0.1198,1294
131,0.116,1253
132,0.1104,1192
133,0.1109,1198
134,0.1007,1088
135,0.1059,1144
136,0.0885,956
137,0.0898,970
138,0.0967,1044
139,0.0915,988
140,0.0874,944
141,0.0813,878
142,0.0845,913
143,0.0788,851
144,0.0749,809
145,0.0719,777
146,0.0697,753
147,0.0688,743
148,0.0691,746
149,0.0673,727
150,0.0655,707
151,0.0642,693
152,0.0616,665
153,0.0668,721
154,0.0594,641
155,0.0642,693
156,0.0551,595
157,0.0557,602
158,0.0561,606
159,0.0626,676
160,0.0728,786
161,0.076,821
162,0.0869,939
163,0.0828,894
164,0.0969,1047
165,0.1133,1224
166,0.1166,1259
167,0.123,1328
168,0.1375,1485
169,0.1499,1619
170,0.1798,1942
171,0.2706,2923
172,0.3035,3278
173,0.2993,3232
174,0.2778,3000
175,0.2346,2534
176,0.1901,2053
177,0.2117,2286
178,0.2781,3003
179,0.3293,3556
180,0.3332,3599
181,0.4829,5215
182,0.4269,4611
183,0.5391,5822
184,0.5759,6220
185,0.5644,6096
186,0.5741,6200
187,0.6835,7382
188,0.7281,7863
189,0.9001,9721
190,1.0519,11361
191,1.0554,11398
192,1.2588,13595
193,1.4094,15222
194,1.4458,15615
195,1.5022,16224
196,1.4878,16068
197,1.4732,15911
198,1.734,18727
199,1.8181,19636
200,1.8345,19813
201,2.0359,21988
202,1.9895,21487
203,1.7412,18805
204,1.8699,20195
205,1.9286,20829
206,1.9806,21391
207,2.23,24084
208,2.3668,25561
209,1.9527,21089
210,1.6678,18012
211,1.4511,15672
212,1.2592,13599
213,1.2309,13294
214,1.1373,12283
215,1.0524,11366
216,0.9501,10261
217,0.7464,8061
218,0.6485,7004
219,0.5639,6090
220,0.4939,5334
221,0.4121,4451
222,0.3162,3415
223,0.1915,2068
224,0.164,1771
225,0.1196,1292
226,0.0838,905
227,0.0819,885
228,0.0666,719
229,0.0512,553
230,0.037,400
231,0.0231,249
232,0.0151,163
233,0.0069,75
234,0.0051,55
235,0.0039,42
236,0.0026,28
237,0.0035,38
238,0.003,32
239,0.002,22
240,0.0019,21
241,0.0019,21
242,0.0019,20
243,0.001,11
244,0.001,11
245,0.0009,10
246,0.0006,7
247,0.0009,10
248,0.0014,15
249,0.0012,13
250,0.0013,14
251,0.0007,8
252,0.0009,10
253,0.0009,10
254,0.0018,19
255,0.0004,4
