âÊëfíl,î≠ê∂ïpìx[%],î≠ê∂êî
0,0.1931,2086
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0.1278,1380
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0.0969,1047
23,0,0
24,0,0
25,0,0
26,0,0
27,0.0976,1054
28,0,0
29,0,0
30,0,0
31,0.0907,980
32,0,0
33,0,0
34,0,0
35,0.1065,1150
36,0,0
37,0,0
38,0,0
39,0.1101,1189
40,0,0
41,0,0
42,0.1345,1453
43,0,0
44,0,0
45,0.1334,1441
46,0,0
47,0.1462,1579
48,0,0
49,0,0
50,0.1656,1789
51,0,0
52,0.1599,1727
53,0,0
54,0,0
55,0.1881,2031
56,0,0
57,0.1876,2026
58,0,0
59,0.2155,2327
60,0,0
61,0.2388,2579
62,0,0
63,0.2452,2648
64,0,0
65,0.2681,2896
66,0,0
67,0.2774,2996
68,0,0
69,0.2862,3091
70,0,0
71,0.2992,3231
72,0,0
73,0.3144,3396
74,0.3181,3435
75,0,0
76,0.3204,3460
77,0,0
78,0.3323,3589
79,0.3324,3590
80,0,0
81,0.333,3596
82,0.3179,3433
83,0,0
84,0.3143,3394
85,0.3147,3399
86,0,0
87,0.311,3359
88,0.3057,3302
89,0,0
90,0.3027,3269
91,0.2945,3181
92,0,0
93,0.3049,3293
94,0.3018,3259
95,0.3022,3264
96,0,0
97,0.3036,3279
98,0.3081,3328
99,0.2951,3187
100,0.2934,3169
101,0,0
102,0.2936,3171
103,0.2981,3220
104,0.3055,3299
105,0.2981,3220
106,0,0
107,0.2967,3204
108,0.3082,3329
109,0.3196,3452
110,0.3241,3500
111,0.329,3553
112,0.3456,3733
113,0,0
114,0.3454,3730
115,0.3383,3654
116,0.3513,3794
117,0.3449,3725
118,0.3653,3945
119,0.3651,3943
120,0.3633,3924
121,0.3831,4137
122,0.3904,4216
123,0.4066,4391
124,0.4097,4425
125,0.4119,4449
126,0.4205,4541
127,0.4295,4639
128,0.4453,4809
129,0.4627,4997
130,0.4618,4987
131,0.4731,5109
132,0.4756,5136
133,0.486,5249
134,0.4846,5234
135,0.5094,5501
136,0.5035,5438
137,0.5088,5495
138,0.5117,5526
139,0.5031,5433
140,0.5073,5479
141,0.9993,10792
142,0.4852,5240
143,0.4905,5297
144,0.4853,5241
145,0.4739,5118
146,0.4796,5180
147,0.4585,4952
148,0.8982,9701
149,0.4418,4771
150,0.4288,4631
151,0.4214,4551
152,0.4188,4523
153,0.808,8726
154,0.4075,4401
155,0.3874,4184
156,0.3745,4045
157,0.3811,4116
158,0.7148,7720
159,0.3527,3809
160,0.3464,3741
161,0.3228,3486
162,0.6261,6762
163,0.2985,3224
164,0.3034,3277
165,0.5714,6171
166,0.2646,2858
167,0.2471,2669
168,0.4962,5359
169,0.2363,2552
170,0.2365,2554
171,0.4461,4818
172,0.2101,2269
173,0.2044,2208
174,0.3804,4108
175,0.1819,1964
176,0.164,1771
177,0.3064,3309
178,0.1492,1611
179,0.2781,3003
180,0.1216,1313
181,0.1258,1359
182,0.2358,2547
183,0.1104,1192
184,0.2117,2286
185,0.1059,1144
186,0.1783,1926
187,0.0967,1044
188,0.1789,1932
189,0.0813,878
190,0.1633,1764
191,0.0749,809
192,0.1417,1530
193,0.0688,743
194,0.1364,1473
195,0.0655,707
196,0.1257,1358
197,0.0668,721
198,0.1235,1334
199,0.0551,595
200,0.1119,1208
201,0.1354,1462
202,0.076,821
203,0.1697,1833
204,0.0969,1047
205,0.2299,2483
206,0.2605,2813
207,0.1499,1619
208,0.4505,4865
209,0.3035,3278
210,0.577,6232
211,0.4247,4587
212,0.2117,2286
213,0.6073,6559
214,0.8161,8814
215,0.4269,4611
216,1.115,12042
217,1.1385,12296
218,1.4116,15245
219,0.9001,9721
220,2.1073,22759
221,2.6682,28817
222,2.9481,31839
223,1.4878,16068
224,3.2072,34638
225,3.6527,39449
226,4.0255,43475
227,1.7412,18805
228,3.7985,41024
229,4.2106,45475
230,4.3194,46650
231,3.1189,33684
232,1.2592,13599
233,2.3682,25577
234,2.0025,21627
235,1.3949,15065
236,1.0578,11424
237,0.7283,7866
238,0.3555,3839
239,0.1196,1292
240,0.1657,1790
241,0.1178,1272
242,0.0601,649
243,0.022,238
244,0.009,97
245,0.0061,66
246,0.005,54
247,0.0039,42
248,0.0029,31
249,0.0019,21
250,0.0016,17
251,0.0026,28
252,0.002,22
253,0.0019,20
254,0.0018,19
255,0.0004,4
