,î≠ê∂ïpìx[%],î≠ê∂êî
0,0.1931,2086
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0.1278,1380
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0.0969,1047
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0.0976,1054
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0.0907,980
91,0,0
92,0,0
93,0,0
94,0,0
95,0.1065,1150
96,0,0
97,0,0
98,0,0
99,0.1101,1189
100,0,0
101,0,0
102,0,0
103,0.1345,1453
104,0,0
105,0,0
106,0,0
107,0.1334,1441
108,0,0
109,0,0
110,0.1462,1579
111,0,0
112,0,0
113,0.1656,1789
114,0,0
115,0,0
116,0.1599,1727
117,0,0
118,0.1881,2031
119,0,0
120,0,0
121,0.1876,2026
122,0,0
123,0.2155,2327
124,0,0
125,0.2388,2579
126,0,0
127,0.2452,2648
128,0,0
129,0.2681,2896
130,0,0
131,0.2774,2996
132,0,0
133,0.2862,3091
134,0.2992,3231
135,0,0
136,0.3144,3396
137,0,0
138,0.3181,3435
139,0.3204,3460
140,0,0
141,0.3323,3589
142,0.3324,3590
143,0,0
144,0.333,3596
145,0.3179,3433
146,0.3143,3394
147,0,0
148,0.3147,3399
149,0.311,3359
150,0.3057,3302
151,0.3027,3269
152,0.2945,3181
153,0,0
154,0.3049,3293
155,0.3018,3259
156,0.3022,3264
157,0.3036,3279
158,0.3081,3328
159,0.2951,3187
160,0.2934,3169
161,0.2936,3171
162,0.2981,3220
163,0.3055,3299
164,0.2981,3220
165,0.2967,3204
166,0.3082,3329
167,0.6437,6952
168,0.329,3553
169,0.3456,3733
170,0.3454,3730
171,0.3383,3654
172,0.6962,7519
173,0.3653,3945
174,0.3651,3943
175,0.3633,3924
176,0.7734,8353
177,0.4066,4391
178,0.4097,4425
179,0.8324,8990
180,0.4295,4639
181,0.908,9806
182,0.4618,4987
183,0.9486,10245
184,0.486,5249
185,0.994,10735
186,0.5035,5438
187,1.0205,11021
188,0.5031,5433
189,1,10800
190,0.9918,10711
191,0.4905,5297
192,0.9592,10359
193,0.9381,10132
194,0.8982,9701
195,0.8706,9402
196,0.4214,4551
197,0.8355,9023
198,0.7988,8627
199,0.7619,8229
200,0.7395,7987
201,0.7091,7658
202,0.6692,7227
203,0.6261,6762
204,0.6019,6501
205,0.5714,6171
206,0.5118,5527
207,0.4962,5359
208,0.6963,7520
209,0.4327,4673
210,0.3963,4280
211,0.3704,4000
212,0.4704,5080
213,0.2893,3124
214,0.2595,2803
215,0.3617,3906
216,0.2213,2390
217,0.2952,3188
218,0.1865,2014
219,0.2602,2810
220,0.1633,1764
221,0.2166,2339
222,0.2052,2216
223,0.1296,1400
224,0.1877,2027
225,0.175,1890
226,0.1915,2068
227,0.163,1760
228,0.2931,3165
229,0.377,4072
230,0.6004,6484
231,0.8806,9510
232,0.6364,6873
233,0.9406,10158
234,1.4489,15648
235,2.398,25898
236,2.6801,28945
237,3.7236,40215
238,4.4358,47907
239,6.8599,74087
240,5.7667,62280
241,5.7792,62415
242,8.2172,88746
243,3.9412,42565
244,3.8862,41971
245,1.7063,18428
246,1.0838,11705
247,0.3519,3801
248,0.1113,1202
249,0.031,335
250,0.0111,120
251,0.0068,73
252,0.0035,38
253,0.0046,50
254,0.0036,39
255,0.0004,4
