âÊëfíl,î≠ê∂ïpìx[%],î≠ê∂êî
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0.0011,3
112,0.0027,7
113,0.0156,41
114,0.1614,423
115,0.2544,667
116,0.576,1510
117,0.4772,1251
118,0.824,2160
119,0.6363,1668
120,1.0502,2753
121,1.157,3033
122,0.9075,2379
123,1.5461,4053
124,1.0292,2698
125,1.6266,4264
126,1.0925,2864
127,1.712,4488
128,1.1513,3018
129,1.8589,4873
130,1.9585,5134
131,1.3798,3617
132,2.1774,5708
133,1.4809,3882
134,2.2846,5989
135,1.5778,4136
136,2.43,6370
137,1.6365,4290
138,2.4704,6476
139,1.6708,4380
140,2.5505,6686
141,2.3571,6179
142,1.5759,4131
143,2.3598,6186
144,1.6022,4200
145,2.3106,6057
146,1.4149,3709
147,2.2324,5852
148,1.5015,3936
149,2.1667,5680
150,2.1465,5627
151,1.3706,3593
152,2.0058,5258
153,1.2432,3259
154,1.8127,4752
155,1.1078,2904
156,1.5511,4066
157,0.9823,2575
158,1.6136,4230
159,1.0788,2828
160,1.5194,3983
161,1.2966,3399
162,0.827,2168
163,0.9064,2376
164,0.5997,1572
165,0.9651,2530
166,0.6836,1792
167,1.1906,3121
168,0.8858,2322
169,1.2699,3329
170,1.3683,3587
171,0.9777,2563
172,1.4717,3858
173,0.9716,2547
174,1.3664,3582
175,0.8938,2343
176,1.2207,3200
177,0.8389,2199
178,1.2569,3295
179,0.7416,1944
180,0.9338,2448
181,0.8186,2146
182,0.5287,1386
183,0.9056,2374
184,0.6874,1802
185,1.1204,2937
186,0.7301,1914
187,0.8636,2264
188,0.4421,1159
189,0.6302,1652
190,0.6313,1655
191,0.1968,516
192,0.1213,318
193,0.0076,20
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
