âÊëfíl,î≠ê∂ïpìx[%],î≠ê∂êî
0,0,0
1,0,0
2,0.0977,256
3,0.1411,370
4,0.2205,578
5,0.2514,659
6,0.2388,626
7,0.3128,820
8,0.1495,392
9,0.1194,313
10,0.1202,315
11,0.1133,297
12,0.0999,262
13,0.0927,243
14,0.0916,240
15,0.0912,239
16,0.1083,284
17,0.1141,299
18,0.1354,355
19,0.1587,416
20,0.1572,412
21,0.1434,376
22,0.1244,326
23,0.1114,292
24,0.1179,309
25,0.1213,318
26,0.1225,321
27,0.1316,345
28,0.1369,359
29,0.1442,378
30,0.148,388
31,0.164,430
32,0.1686,442
33,0.1709,448
34,0.1434,376
35,0.1343,352
36,0.1446,379
37,0.1438,377
38,0.1423,373
39,0.1442,378
40,0.1392,365
41,0.1339,351
42,0.135,354
43,0.1385,363
44,0.1247,327
45,0.1305,342
46,0.1339,351
47,0.1221,320
48,0.1308,343
49,0.132,346
50,0.1316,345
51,0.1354,355
52,0.1434,376
53,0.1423,373
54,0.1442,378
55,0.1656,434
56,0.153,401
57,0.1453,381
58,0.1602,420
59,0.1537,403
60,0.1537,403
61,0.1736,455
62,0.1732,454
63,0.169,443
64,0.1713,449
65,0.1835,481
66,0.1801,472
67,0.1839,482
68,0.1842,483
69,0.201,527
70,0.1785,468
71,0.1934,507
72,0.2048,537
73,0.1915,502
74,0.1915,502
75,0.211,553
76,0.2102,551
77,0.2075,544
78,0.2197,576
79,0.2022,530
80,0.2079,545
81,0.2296,602
82,0.2502,656
83,0.2476,649
84,0.2747,720
85,0.2895,759
86,0.2502,656
87,0.2625,688
88,0.2705,709
89,0.2899,760
90,0.2956,775
91,0.304,797
92,0.2888,757
93,0.2872,753
94,0.3014,790
95,0.3235,848
96,0.3357,880
97,0.3559,933
98,0.3223,845
99,0.3864,1013
100,0.3662,960
101,0.3578,938
102,0.3735,979
103,0.388,1017
104,0.3761,986
105,0.4353,1141
106,0.4234,1110
107,0.4383,1149
108,0.4475,1173
109,0.4963,1301
110,0.5157,1352
111,0.5215,1367
112,0.5264,1380
113,0.5821,1526
114,0.6001,1573
115,0.6363,1668
116,0.668,1751
117,0.7004,1836
118,0.713,1869
119,0.7362,1930
120,0.7996,2096
121,0.7744,2030
122,0.766,2008
123,0.7828,2052
124,0.7614,1996
125,0.7305,1915
126,0.7473,1959
127,0.7496,1965
128,0.7587,1989
129,0.7668,2010
130,0.7961,2087
131,0.7732,2027
132,0.8076,2117
133,0.824,2160
134,0.8533,2237
135,0.882,2312
136,0.9029,2367
137,0.877,2299
138,0.9609,2519
139,0.98,2569
140,0.993,2603
141,1.0269,2692
142,1.0578,2773
143,1.0269,2692
144,1.0609,2781
145,1.0498,2752
146,1.0197,2673
147,1.0288,2697
148,1.0143,2659
149,1.0189,2671
150,0.9842,2580
151,0.948,2485
152,0.8984,2355
153,0.8823,2313
154,0.8347,2188
155,0.7984,2093
156,0.7545,1978
157,0.7675,2012
158,0.7927,2078
159,0.7286,1910
160,0.6908,1811
161,0.7061,1851
162,0.6653,1744
163,0.6844,1794
164,0.7359,1929
165,0.7317,1918
166,0.6958,1824
167,0.7084,1857
168,0.6771,1775
169,0.6821,1788
170,0.6939,1819
171,0.6435,1687
172,0.6222,1631
173,0.5955,1561
174,0.6264,1642
175,0.6145,1611
176,0.5959,1562
177,0.5817,1525
178,0.589,1544
179,0.5428,1423
180,0.5173,1356
181,0.4913,1288
182,0.4566,1197
183,0.4372,1146
184,0.433,1135
185,0.3883,1018
186,0.3899,1022
187,0.396,1038
188,0.3731,978
189,0.3666,961
190,0.3654,958
191,0.3422,897
192,0.3487,914
193,0.3582,939
194,0.3628,951
195,0.3567,935
196,0.3632,952
197,0.3819,1001
198,0.3487,914
199,0.3853,1010
200,0.3757,985
201,0.3983,1044
202,0.3742,981
203,0.3963,1039
204,0.396,1038
205,0.4112,1078
206,0.428,1122
207,0.4456,1168
208,0.4616,1210
209,0.4372,1146
210,0.4288,1124
211,0.4333,1136
212,0.4528,1187
213,0.4784,1254
214,0.4665,1223
215,0.4555,1194
216,0.4936,1294
217,0.5054,1325
218,0.4536,1189
219,0.4936,1294
220,0.4639,1216
221,0.5043,1322
222,0.5028,1318
223,0.4898,1284
224,0.4948,1297
225,0.478,1253
226,0.5127,1344
227,0.6023,1579
228,0.6432,1686
229,0.6458,1693
230,0.5383,1411
231,0.3895,1021
232,0.3128,820
233,0.2422,635
234,0.1564,410
235,0.0946,248
236,0.0565,148
237,0.0263,69
238,0.0061,16
239,0.0023,6
240,0.0004,1
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
